Sl.No,Sports Discipline,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattissgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharastra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Andaman and Nicobar Island,Chandigarh,Dadar and Nagar Haveli,Daman and Diu,Delhi,Lakhshadeep,Pondicherry,Total
1,Archery,1,NA,NA,NA,NA,NA,NA,6,NA,NA,3,NA,NA,NA,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
2,Athletics,1,NA,NA,NA,NA,NA,2,10,1,NA,2,1,8,2,5,NA,NA,NA,NA,1,3,NA,NA,10,1,NA,11,5,NA,NA,NA,NA,NA,6,NA,NA,69
3,Badminton,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
4,Basketball,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,19
5,Boxing,NA,NA,2,NA,NA,NA,NA,17,NA,NA,3,NA,1,NA,10,11,NA,NA,NA,NA,4,5,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,1,NA,NA,58
6,Football,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,7,NA,9,NA,1,8,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,38
7,Gymnastics,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,6,1,3,NA,NA,NA,NA,6,NA,NA,32
8,Hockey,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,8,NA,NA,NA,7,NA,NA,NA,NA,NA,40
9,Judo,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,32
10,Kabaddi,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,7,NA,NA,20
11,Kho-kho,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,20
12,Shooting,NA,NA,1,NA,NA,NA,3,6,NA,NA,1,NA,NA,1,4,NA,NA,NA,NA,NA,3,3,NA,1,1,NA,3,NA,NA,NA,4,NA,NA,1,NA,NA,32
13,Swimming,1,NA,1,1,NA,3,1,2,NA,NA,NA,10,3,3,4,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,NA,11,NA,NA,47
14,Volleybal,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,1,2,NA,NA,NA,NA,2,NA,NA,20
15,Weigtlifting,6,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,NA,NA,NA,1,NA,NA,NA,2,4,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,44
16,Wrestling,NA,NA,NA,NA,NA,NA,2,25,NA,NA,NA,3,NA,1,9,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,11,NA,NA,60
Total,Total,10,5,10,3,4,3,17,91,4,3,12,24,30,8,71,31,0,9,0,9,37,11,0,17,10,3,48,8,10,0,12,0,0,62,0,1,563
